,Disease,ID,Links
254,Ringworm and other fungal infections,255,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/ringworm-and-other-fungal-infections
255,Rosacea,256,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/r/rosacea
256,Scabies,257,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/scabies
257,Scarlet fever,258,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/scarlet-fever
258,Schizophrenia,259,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/schizophrenia
259,Scoliosis,260,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/scoliosis
260,Septic shock,261,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/septic-shock
261,Shingles,262,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/shingles
262,Shortness of breath,263,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/shortness-of-breath
263,Sickle cell disease,264,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sickle-cell-disease
264,Sinusitis,265,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sinusitis
265,Sjogren's syndrome,266,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sjogrens-syndrome
266,Skin cancer (melanoma),267,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/skin-cancer-melanoma
267,Skin cancer (non-melanoma),268,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/skin-cancer-non-melanoma
268,Slapped cheek syndrome,269,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/slapped-cheek-syndrome
269,Soft tissue sarcomas,270,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/soft-tissue-sarcomas
270,Soft tissue sarcomas: Teenagers and young adults,271,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/soft-tissue-sarcomas-teenagers-and-young-adults
271,Sore throat,272,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sore-throat
272,Spleen problems and spleen removal,273,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/spleen-problems-and-spleen-removal
273,Stillbirth,274,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stillbirth
274,Stomach ache and abdominal pain,275,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stomach-ache-and-abdominal-pain
275,Stomach cancer,276,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stomach-cancer
276,Stomach ulcer,277,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stomach-ulcer
277,Streptococcus A (strep A),278,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/streptococcus-a-strep-a
278,"Stress, anxiety and low mood",279,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stress-anxiety-and-low-mood
279,Stroke,280,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/stroke
280,Sudden infant death syndrome (SIDS),281,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sudden-infant-death-syndrome-sids
281,Suicide,282,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/suicide
282,Sunburn,283,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/sunburn
283,Swollen glands,284,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/swollen-glands
284,Syphilis,285,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/s/syphilis
285,Testicular cancer,286,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/testicular-cancer
286,Testicular cancer: Teenagers and young adults,287,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/testicular-cancer-teenagers-and-young-adults
287,Testicular lumps and swellings,288,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/testicular-lumps-and-swellings
288,Thirst,289,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/thirst
289,Threadworms,290,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/threadworms
290,Thrush,291,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/thrush
291,Thyroid cancer,292,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/thyroid-cancer
292,Thyroid cancer: Teenagers and young adults,293,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/thyroid-cancer-teenagers-and-young-adults
293,Tinnitus,294,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/tinnitus
294,Tonsillitis,295,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/tonsillitis
295,Tooth decay,296,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/tooth-decay
296,Toothache,297,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/toothache
297,Transient ischaemic attack (TIA),298,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/transient-ischaemic-attack-tia
298,Trigeminal neuralgia,299,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/trigeminal-neuralgia
299,Tuberculosis (TB),300,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/tuberculosis-tb
300,Type 1 diabetes,301,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/type-1-diabetes
301,Type 2 diabetes,302,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/type-2-diabetes
302,Trichomonas infection,303,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/trichomonas-infection
303,Transverse myelitis,304,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/t/transverse-myelitis
304,Ulcerative colitis,305,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/ulcerative-colitis
305,Underactive thyroid,306,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/underactive-thyroid
306,Urinary incontinence,307,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/urinary-incontinence
307,Urinary tract infection (UTI),308,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/urinary-tract-infection-uti
308,Urinary tract infection (UTI) in children,309,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/urinary-tract-infection-uti-in-children
309,Urticaria (hives),310,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/u/urticaria-hives
310,Vaginal cancer,311,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/vaginal-cancer
311,Varicose eczema,312,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/varicose-eczema
312,Venous leg ulcer,313,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/venous-leg-ulcer
313,Vertigo,314,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/vertigo
314,Vitamin B12 or folate deficiency anaemia,315,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/vitamin-b12-or-folate-deficiency-anaemia
315,Vomiting in adults,316,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/vomiting-in-adults
316,Vulval cancer,317,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/v/vulval-cancer
317,Warts and verrucas,318,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/w/warts-and-verrucas
318,Whooping cough,319,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/w/whooping-cough
319,Wilms’ tumour,320,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/w/wilms-tumour
320,Womb (uterus) cancer,321,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/w/womb-uterus-cancer
321,Yellow fever,322,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/y/yellow-fever
